Material_Record_ID,Vendor_ID,Vendor_Name,Material_Category,Material_Type,Material_Name,Material_Description,Size_Length (inches),Size_Width (inches),Unit_of_Measure,Price_Per_Unit,Minimum Oreder Quantity,Lead_Time_Days,Stock_Status,Active,,,,,,,,,,,
MR001,VEN020,SAB INTERNATIONAL,BUTTON,STEEL,SNAP FASTENER,"3/3 BLACK SNAP FASTENER, BUTTON  UDYOGI CALENDER",3.0,3.0,PCS,2.57,144.0,1.0,0.0,YES,,,,,,,,,,,
MR002,VEN020,SAB INTERNATIONAL,CIRCLE RING FOR HANGING,STEEL,CIRCLE RING FOR HANGING,CIRCLE RING FOR HANGING JOB LITTLEBIT SABAR MENU CARD,,,,,,,,,,,,,,,,,,,
MR003,VEN022,LUCKY TRADERS,POLY,PLASTIC,POLYPOUCH,BOPP FILM,,,KGS,130.0,1.0,1.0,1.0,YES,,,,,,,,,,,
MR003,VEN022,LUCKY TRADERS,POLY,PLASTIC,POLYPOUCH,BOPP FILM,,,KGS,125.0,1.0,1.0,1.0,YES,,,,,,,,,,,
MR003,VEN022,LUCKY TRADERS,POLY,PLASTIC,POLYPOUCH,BOPP FILM,6.5,12.0,KGS,65.0,1.0,1.0,1.0,YES,,,,,,,,,,,
MR003,VEN022,LUCKY TRADERS,POLY,"POLY :12.""X9.""","POLY : 12.""X9.""",POLY FOR PATHAK: QTY 1100 POLY,12.0,9.0,PCS,1.1,1.0,1.0,0.0,YES,,,,,,,,,,,
MR004,VEN019,COSMOS CARD AND BOX,WHITE BOX,CARTOON,WHITE BOX,WHITE BOX UYOGI CALENDER,3.1,3.1,PCS,10.75,1.0,1.0,0.0,YES,,,,,,,,,,,
MR005,VEN021,DIPAK TRADERS,EYE LATE ,PLASTIC,EYELATE,EYELET EXPORT QUALITY,,,,,,,,,,,,,,,,,,,
MR006,VEN022,BENGAL PLASTIC STORES,ACCRELIC,ACCRELIC,ACCRELIC,ACRYLIC JOB LITTLE BIT SABAR MENU CARD,,,,,,,,,,,,,,,,,,,
MR007,VEN023,SATYA ENTERPRISE,PHOTO FRAME,FRAME,PHOTO FRAME,PHOTO FRAME  KEVENTER JOB,,,,,,,,,,,,,,,,,,,
MR008,VEN024,SREE RAMKRISHNA CHITRALAYA,PHOTO FRAME,FRAME,PHOTO FRAME,PHOTOFRAME UTEX JOB,15.0,11.0,PCS,275.0,1.0,1.0,0.0,YES,,0.0,,,,,,,,,
MR009,VEN031,CLASSIC STORES,POLY,PLASTIC,POLYPOUCH SIZE A5,POLYPOUCH,5.83,8.27,PCS,0.75,1.0,1.0,0.0,YES,,,,,,,,,,,
MR010,VEN033,RIYANSHIKA FASHIONS PVT LTD,T. SHIRT,T.SHIRT,T SHIRT,T SHIRT FOR CLIENT PRANIK LOGISTICS (EMBODIARY),,,PCS,235.0,1.0,1.0,0.0,YES,,,,,,,,,,,
MR011,VEN036,AD MARK ADVERTISING,FL FLEX,FL FLEX,FL FLEX,FL FLEX,189.0,78.72,SQF,10.0,1.0,1.0,0.0,YES,,,,,,,,,,,
MR012,VEN037,S.B. TRADE,PLASTIC CARD PLATE HVH AC ACRALIC,PLASTIC CARD PLATE HVH AC ACRALIC,PLASTIC CARD ID CARD,PLASTIC CARD ID CARD FOR JUPITER,,,PCS,8.0,1.0,1.0,0.0,YES,,,,,,,,,,,
,,,,,,1.100114286,,,,,,,,,,,,,,,,,,,
