Price_Record_ID,Vendor_ID,Vendor_Name,Paper_Type,Paper_Grade,Brand,GSM,Finish,Color,Sheet_Size_Name (in),SQ. METER,Price_Per_Sheet,Price_Per_Kg,Price_Per_Ream,Sheets_Per_Ream,Stock_Status,MOQ (Sheets),PKT.,Active,,,,
PP001,VEN001,R.J. ENTERPRISE,Special Paper,RENOIR EXTRA WHITE,MOORIM,125.0,Special,White,25*36,900,17.4,2416.666667,8700,500.0,1 Day,1.0,250.0,Yes,,,,
PP002,VEN001,R.J. ENTERPRISE,Special Paper,RENOIR EXTRA WHITE,MOORIM,125.0,Special,White,28*40,1120,22.3,2488.839286,11150,500.0,1 Day,1.0,250.0,Yes,,,,
PP003,VEN001,R.J. ENTERPRISE,Special Paper,RENOIR EXTRA WHITE,MOORIM,150.0,Special,White,25*36,900,19.45,3241.666667,9725,500.0,1 Day,1.0,250.0,Yes,,,,
PP004,VEN001,R.J. ENTERPRISE,Special Paper,RENOIR EXTRA WHITE,MOORIM,150.0,Special,White,28*40,1120,26.75,3582.589286,13375,500.0,1 Day,1.0,250.0,Yes,,,,
PP005,VEN001,R.J. ENTERPRISE,Special Paper,RENOIR EXTRA WHITE,MOORIM,150.0,Special,White,23*33,759,17.9,3537.549407,8950,500.0,1 Day,1.0,250.0,Yes,,,,
PP006,VEN001,R.J. ENTERPRISE,Special Paper,RENOIR EXTRA WHITE,MOORIM,150.0,Special,White,25*35.98,899.5,17.9,2984.991662,8950,500.0,1 Day,1.0,250.0,Yes,,,,
PP007,VEN001,R.J. ENTERPRISE,Special Paper,RENOIR EXTRA WHITE,MOORIM,170.0,Special,White,25*36,900,23.9,4514.444444,11950,500.0,1 Day,1.0,250.0,Yes,,,,
PP008,VEN001,R.J. ENTERPRISE,Special Paper,RENOIR EXTRA WHITE,MOORIM,170.0,Special,White,28*40,1120,30.2,4583.928571,15100,500.0,1 Day,1.0,250.0,Yes,,,,
PP009,VEN001,R.J. ENTERPRISE,Special Paper,RENOIR EXTRA WHITE,MOORIM,180.0,Special,White,25*36,900,25.05,5010,12525,500.0,1 Day,1.0,250.0,Yes,,,,
PP010,VEN001,R.J. ENTERPRISE,Special Paper,RENOIR EXTRA WHITE,MOORIM,180.0,Special,White,28*40,1120,31.75,5102.678571,15875,500.0,1 Day,1.0,250.0,Yes,,,,
PP011,VEN001,R.J. ENTERPRISE,Special Paper,RENOIR EXTRA WHITE,MOORIM,210.0,Special,White,25*36,900,30.0,7000,15000,500.0,1 Day,1.0,100.0,Yes,,,,
PP012,VEN001,R.J. ENTERPRISE,Special Paper,RENOIR EXTRA WHITE,MOORIM,210.0,Special,White,28*40,1120,37.95,7115.625,18975,500.0,1 Day,1.0,100.0,Yes,,,,
PP013,VEN001,R.J. ENTERPRISE,Special Paper,RENOIR EXTRA WHITE,MOORIM,230.0,Special,White,25*36,900,32.0,8177.777778,16000,500.0,1 Day,1.0,100.0,Yes,,,,
PP014,VEN001,R.J. ENTERPRISE,Special Paper,RENOIR EXTRA WHITE,MOORIM,230.0,Special,White,25*33.27,831.75,29.85,8254.283138,14925,500.0,1 Day,1.0,100.0,Yes,,,,
PP015,VEN001,R.J. ENTERPRISE,Special Paper,RENOIR EXTRA WHITE,MOORIM,230.0,Special,White,28*40,1120,41.9,8604.464286,20950,500.0,1 Day,1.0,100.0,Yes,,,,
PP016,VEN001,R.J. ENTERPRISE,Special Paper,RENOIR EXTRA WHITE,MOORIM,250.0,Special,White,25*36,900,36.0,10000,18000,500.0,1 Day,1.0,100.0,Yes,,,,
PP017,VEN001,R.J. ENTERPRISE,Special Paper,RENOIR EXTRA WHITE,MOORIM,250.0,Special,White,28*40,1120,45.55,10167.41071,22775,500.0,1 Day,1.0,100.0,Yes,,,,
PP018,VEN001,R.J. ENTERPRISE,Special Paper,RENOIR EXTRA WHITE,MOORIM,280.0,Special,White,25*36,900,40.3,12537.77778,20150,500.0,1 Day,1.0,100.0,Yes,,,,
PP019,VEN001,R.J. ENTERPRISE,Special Paper,RENOIR EXTRA WHITE,MOORIM,280.0,Special,White,28*40,1120,41.0,10250,20500,500.0,1 Day,1.0,100.0,Yes,,,,
PP020,VEN001,R.J. ENTERPRISE,Special Paper,ARTIZEN EXTRA SHITE,MOORIM,135.0,Special,White,25*36,900,18.96,2844,9480,500.0,1 Day,1.0,250.0,Yes,,,,
PP021,VEN001,R.J. ENTERPRISE,Special Paper,ARTIZEN EXTRA SHITE,MOORIM,135.0,Special,White,28*40,1120,24.0,2892.857143,12000,500.0,1 Day,1.0,250.0,Yes,,,,
PP022,VEN001,R.J. ENTERPRISE,Special Paper,ARTIZEN EXTRA SHITE,MOORIM,160.0,Special,White,25*36,900,22.45,3991.111111,11225,500.0,1 Day,1.0,250.0,Yes,,,,
PP023,VEN001,R.J. ENTERPRISE,Special Paper,ARTIZEN EXTRA SHITE,MOORIM,160.0,Special,White,28*40,1120,28.45,4064.285714,14225,500.0,1 Day,1.0,250.0,Yes,,,,
