Rate_Record_ID,Vendor_ID,Vendor_Name,Operation_Category,Operation_Type,CUSTOMER NAME,Pages,Quantity,Quantity(Per Sq. Inch),Applicable_Size,Size in Inchi,Max_Size_Length_MM,Max_Size_Width_MM,Pricing_Unit,Rate per Pcs,Rate per sheet,Rate_A4(per Sq. Inch),Minimum Charges,Rate_A3,Qty_Break_1_Min,Qty_Break_1_Rate,Qty_Break_2_Min,Qty_Break_2_Rate,Lead_Time_Days,Active
PPR001,VEN013,S.B. ENTERPRISE,Lamination,Matt Lamination ,,0.0,0.0,,0.0,10.5*16.5,266.7,419.1,Per sq inchi,,,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes
PPR002,VEN013,S.B. ENTERPRISE,Lamination,Gloss Lamination ,,0.0,1548.0,,0.0,11.5*18,292.1,457.2,Per sq inchi,,0.72,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes
PPR003,VEN013,S.B. ENTERPRISE,Coating,Spot UV,,0.0,500.0,,0.0,0.0,0.0,0.0,Lot,,,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes
PPR004,VEN013,S.B. ENTERPRISE,Coating,Spot UV,,0.0,1000.0,,0.0,0.0,0.0,0.0,Lot,,,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes
PPR005,VEN013,S.B. ENTERPRISE,Coating,Spot UV,,0.0,1500.0,,0.0,0.0,0.0,0.0,per pcs,,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yes
PPR006,VEN014,WARSI ENTERPRISE,Lamination,Matt Lamination ,,0.0,0.0,,0.0,8.5*12.5,215.9,317.5,Per sq inchi,,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yes
PPR007,VEN014,WARSI ENTERPRISE,Lamination,Gloss Lamination ,,0.0,0.0,,0.0,11.5*17.5,292.1,444.5,Per sq inchi,,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yes
PPR008,VEN014,WARSI ENTERPRISE,Coating,Spot UV,,0.0,1100.0,,0.0,0.0,0.0,0.0,Lot,,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,yes
PPR009,VEN014,WARSI ENTERPRISE,Coating,Spot UV,,0.0,5172.0,,0.0,0.0,0.0,0.0,Lot,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yes
PPR010,VEN019,RAJA SHAHID,Varnish,Gloss Varnish,,0.0,740.0,,0.0,20*30,508.0,762.0,Per sq inchi,,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yes
PPR011,VEN019,RAJA SHAHID,Varnish,Gloss Varnish,,0.0,1550.0,,0.0,18*23,457.2,584.2,Per sq inchi,,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yes
PPR012,VEN019,RAJA SHAHID,Varnish,Gloss Varnish,,0.0,279.0,,0.0,13.5*25,342.9,635.0,Per sq inchi,,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yes
PPR013,VEN019,RAJA SHAHID,Varnish,Gloss Varnish,,0.0,1325.0,,0.0,20*25,508.0,635.0,Per sq inchi,,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yes
PPR014,VEN019,RAJA SHAHID,Varnish,Gloss Varnish,,0.0,1700.0,,0.0,18*25,457.2,635.0,Per sq inchi,,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yes
PPR015,VEN019,RAJA SHAHID,Varnish,Varnish Matt,,0.0,400.0,,0.0,27*35,685.8,889.0,Per sq inchi,,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yes
PPR016,VEN019,RAJA SHAHID,Varnish,Varnish Matt,,0.0,400.0,,0.0,12*27,304.8,685.8,Per sq inchi,,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yes
PPR017,VEN019,RAJA SHAHID,Varnish,Varnish Matt,,0.0,1200.0,,0.0,25*27,635.0,685.8,Per sq inchi,,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yes
PPR018,VEN019,RAJA SHAHID,Varnish,Varnish Matt,,0.0,635.0,,0.0,25*27,635.0,685.8,Per sq inchi,,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yes
PPR019,VEN019,RAJA SHAHID,Varnish,Varnish Matt,,0.0,700.0,,0.0,13*19,330.2,482.6,Per sq inchi,,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yes
PPR020,VEN020,EUREKHA GOLD PRINTERS,Foil Dies,Foil Dies,,0.0,0.0,,0.0,8*8,203.2,203.2,Per sq inchi,,0.0,30.0,,,,,,,,yes
PPR021,VEN020,EUREKHA GOLD PRINTERS,Foil Dies,Foil Dies,,0.0,0.0,,0.0,6.5*6.5,165.1,165.1,Per sq inchi,,0.0,30.0,,,,,,,,yes
PPR022,VEN020,EUREKHA GOLD PRINTERS,Foil charge,Foil charge,,0.0,150.0,,0.0,0.0,0.0,0.0,Lot,,0.0,0.0,600.0,,,,,,,yes
PPR023,VEN020,EUREKHA GOLD PRINTERS,Foil charge,Foil charge,,0.0,210.0,,0.0,0.0,0.0,0.0,Lot,,0.0,0.0,600.0,,,,,,,yes
PPR024,VEN020,EUREKHA GOLD PRINTERS,Foil charge,Foil charge,,0.0,230.0,,0.0,0.0,0.0,0.0,Lot,,0.0,0.0,600.0,,,,,,,yes
PPR025,VEN020,EUREKHA GOLD PRINTERS,Foil charge,Foil charge,,0.0,150.0,,0.0,0.0,0.0,0.0,Lot,,0.0,0.0,600.0,,,,,,,yes
PPR026,VEN020,EUREKHA GOLD PRINTERS,Foil charge,Foil charge,,0.0,2300.0,,0.0,0.0,0.0,0.0,Lot,,1.0,0.0,0.0,,,,,,,yes
PPR027,VEN020,EUREKHA GOLD PRINTERS,Foil charge,Foil charge,,0.0,1000.0,,0.0,0.0,0.0,0.0,Lot,,1.0,0.0,,,,,,,,yes
PPR028,VEN020,EUREKHA GOLD PRINTERS,Foil charge,Foil charge,,0.0,800.0,,0.0,0.0,0.0,0.0,Lot,,1.0,0.0,,,,,,,,yes
PPR029,VEN020,EUREKHA GOLD PRINTERS,Foil charge,Foil charge,,0.0,2400.0,,0.0,0.0,0.0,0.0,Lot,,1.0,0.0,,,,,,,,yes
PPR030,VEN020,EUREKHA GOLD PRINTERS,Foil charge,Foil charge,,0.0,1600.0,,0.0,16.5*9,419.0,229.0,,,1.5,,,,,,,,,yes
PPR031,VEN020,EUREKHA GOLD PRINTERS,Foil charge,Foil charge,,0.0,1600.0,,0.0,15.25*7.25,387.0,184.0,,,1.5,,,,,,,,,yes
PPR032,VEN020,EUREKHA GOLD PRINTERS,Foil charge,Foil charge,,0.0,,,0.0,,,,,,,,,,,,,,,yes
PPR033,VEN020,EUREKHA GOLD PRINTERS,Emboss,Emboss,,0.0,1000.0,,0.0,,,,,,,,300-500,,,,,,,yes
PPR033,VEN020,EUREKHA GOLD PRINTERS,Emboss,Emboss,,0.0,1000+,,0.0,,,,,,,1.25,,,,,,,,yes
PPR034,VEN016,N.C. PAPER BINDING WORKS,Binding,Hardcase Binding,,C+232+END,50.0,,0.0,,275.0,214.0,,95.0,,,,,,,,,,yes
PPR035,VEN016,N.C. PAPER BINDING WORKS,Binding,Perfect Binding,,C+204,500.0,,0.0,,210.0,297.0,,23.0,,,,,,,,,,yes
PPR036,VEN016,N.C. PAPER BINDING WORKS,Binding,Perfect Binding,,C+76,2000.0,,0.0,,210.0,297.0,,9.0,,,,,,,,,,yes
PPR037,VEN016,N.C. PAPER BINDING WORKS,Note Book ,,,C+160,1000.0,,0.0,,145.0,215.0,,25.0,,,,,,,,,,yes
PPR038,VEN016,N.C. PAPER BINDING WORKS,Binding,Centre Stich,,C+24,5000.0,,0.0,5.83*8.27,148.0,210.0,,3.5,,,,,,,,,,yes
PPR039,VEN016,N.C. PAPER BINDING WORKS,Binding,Perfect Binding,,C+56,400.0,,0.0,10*13,254.0,330.0,,28.0,,,,,,,,,,
PPR040,VEN016,N.C. PAPER BINDING WORKS,Note Book ,Note Book making,,C+E+144,100.0,,,,210.0,156.0,,28.0,,,,,,,,,,
PPR041,VEN016,N.C. PAPER BINDING WORKS,Catalogue,Catalogue,,C+44,2000.0,,,17*21,432.0,533.0,,4.5,,,,,,,,,,
PPR042,VEN016,N.C. PAPER BINDING WORKS,Catalogue,Catalogue,,C+60,3500.0,,,,180.0,245.0,,8.0,,,,,,,,,,
PPR043,VEN016,N.C. PAPER BINDING WORKS,Brochure,Brochure,,,300.0,,,13*11,330.0,279.0,,25.0,,,,,,,,,,
PPR044,VEN016,N.C. PAPER BINDING WORKS,Brochure,Brochure,PRANIK LOGISTICS,C+40,3000.0,,,8.27*11.67,,,,4.5,,,,,,,,,,
PPR045,VEN016,N.C. PAPER BINDING WORKS,Brochure,Brochure,USHA MARTIN,C+144,100.0,,,7*3.5,,,,35.0,,,,,,,,,,
PPR046,VEN016,N.C. PAPER BINDING WORKS,Catalogue,Catalogue,CLASSIC WORLD(PREPELLO),C+16,500.0,,,8.27*11.67,,,,3.0,,,,,,,,,,
PPR047,VEN015,SAMIR PUNCHING,CALLENDER MAKING,CALLENDER MAKING,,16 LEAVES,1100.0,,0.0,12*17.3,304.0,439.0,,6.0,,,,,,,,,,yes
PPR048,VEN015,SAMIR PUNCHING,T CALLENDER MAKING,T CALLENDER MAKING,,16 LEAVES,50.0,,0.0,8.5*11,216.0,279.0,,26.0,,,,,,,,,,yes
