Rate_Record_ID,Vendor_ID,Vendor_Name,Machine_Name,Machine_Type,Max_Sheet_Size_Name,inXin,Max_Sheet_Length_MM,Max_Sheet_Width_MM,Color_Capability,Machine_Speed_IPH,Pricing_Model,upto Qty,Rate_Sheet_Size,Rate_Single Color(One Side) ,Rate_4_Color(One Side) big machine,Rate_4_Color(One Side) small machine,Qty_Break_1_Min,Qty_Break_1_Rate,Qty_Break_2_Min,Qty_Break_2_Rate,Plate_Charge_Per_Color(Small Machine),Plate_Charge_Per_Color(Big Machine,Lead_Time_Days,Active,,,,,
PR001,VEN010,NABAMUDRAN PVT LTD,HEIDELBERG-102,Offset Sheet-Fed,B1 Format,28X40,711.2,1016.0,4 COL,9000.0,Per Impression,3000.0,SRA2,0.0,2200.0,0.0,216.0,1500.0,5000.0,432.0,0.0,550.0,2.0,Yes,,,,,
PR002,VEN010,NABAMUDRAN PVT LTD,HEIDELBERG-102,Offset Sheet-Fed,B1 Format,28X40,711.2,1016.0,4 COL,9000.0,Per Impression,3001-10000,SRA2,0.0,720/1000,,,,,,,,2.0,Yes,,,,,
PR003,VEN010,NABAMUDRAN PVT LTD,HEIDELBERG-102,Offset Sheet-Fed,B1 Format,28X40,711.0,1016.0,4 COL,9000.0,Per Impression,10000+,SRA2,0.0,640/1000,,,,,,,,2.0,Yes,,,,,
PR004,VEN010,NABAMUDRAN PVT LTD,MAN ROLAND R-200,Offset Sheet-Fed,B2 Format,20X30,508.0,762.0,5 COL,8000.0,Per Impression,3000.0,A3,0.0,0.0,1400.0,150.0,1300.0,5000.0,300.0,450.0,0.0,2.0,Yes,,,,,
PR005,VEN010,NABAMUDRAN PVT LTD,MAN ROLAND R-200,Offset Sheet-Fed,B2 Format,20X30,508.0,762.0,5 COL,8000.0,Per Impression,3001+,A3,0.0,0.0,460/1000,150.0,1300.0,5000.0,300.0,450.0,0.0,2.0,Yes,,,,,
PR006,VEN010,NABAMUDRAN PVT LTD,MAN ROLAND R-200,Offset Sheet-Fed,B2 Format,20X30,508.0,762.0,5 COL,8000.0,Per Impression,10000+,A3,0.0,0.0,460/1000,150.0,1300.0,5000.0,300.0,0.0,0.0,,,,,,,
PR007,VEN010,NABAMUDRAN PVT LTD,MAN ROLAND PARVA ,Offset Sheet-Fed,B1 Format,25X36,635.0,914.0,2 COL,7000.0,Per Impression,3000.0,SRA3,600.0,0.0,0.0,150.0,1300.0,5000.0,300.0,0.0,550.0,1.0,Yes,,,,,
PR008,VEN010,NABAMUDRAN PVT LTD,PLANETA SUPPER VARRIANT,Offset Sheet-Fed,B1 Format,28X40,711.0,1016.0,4 COL,7000.0,Per Impression,3001-10000,SRA3,0.0,800/1000,0.0,150.0,1300.0,5000.0,300.0,0.0,,1.0,Yes,,,,,
PR009,VEN010,NABAMUDRAN PVT LTD,PLANETA SUPPER VARRIANT,Offset Sheet-Fed,B1 Format,28X40,711.0,1016.0,4COL,7000.0,Per Impression,10000+,SRA3,0.0,720/1000,0.0,150.0,1300.0,5000.0,300.0,0.0,,1.0,Yes,,,,,
PR010,VEN011,BALAJI PRINTING SOLUTION,KOMORI L-40,Offset Sheet-Fed,B1 Format,20x30,508.0,762.0,4 COL,15000.0,Per Impression,2000.0,SRA4,0.0,2700.0,0.0,150.0,1300.0,5000.0,300.0,0.0,400.0,1.0,Yes,,,,,
PR011,VEN011,BALAJI PRINTING SOLUTION,KOMORI L-40,Offset Sheet-Fed,B1 Format,20x30,508.0,762.0,4 COL,15000.0,per Impression,2001.0,,,460/1000,0.0,150.0,1300.0,5000.0,300.0,0.0,400.0,1.0,Yes,,,,,
