ANDREAL — COMPREHENSIVE PRINT PRODUCT TAXONOMY | Form Factor × Usage × Paper Specification,,,,,,
#,Form Factor Category,Sr No,Product Name,Usage Category,Paper / Board Type,GSM / Specification
1,1. SINGLE SHEET,1.1,Letterhead,Corporate Stationery,"Maplitho, Bond Paper","70, 75, 80, 90"
1,1. SINGLE SHEET,1.2,Flyer,Marketing & Promotion,"Art Paper (Gloss/Matte), Coated Paper","100, 130, 170, 220"
1,1. SINGLE SHEET,1.3,Leaflet,Marketing & Promotion,"Art Paper, Maplitho","90, 100, 130, 170"
1,1. SINGLE SHEET,1.4,Pamphlet,Marketing / NGO / Political,"Art Paper (inside), Art Card (cover)","90–130 (inside), 170–250 (cover)"
1,1. SINGLE SHEET,1.5,Poster,Marketing / Events / Education,"Art Paper (Gloss), Maplitho","130, 170, 220, 300"
1,1. SINGLE SHEET,1.6,Handbill,Retail / Political / Events,"Maplitho, Economy Art Paper","70, 75, 80, 90"
1,1. SINGLE SHEET,1.7,Circular,Corporate / Government,"Maplitho, Bond Paper","70, 75, 80"
1,1. SINGLE SHEET,1.8,Insert,Retail / FMCG Packaging,"Super Calendered, Art Paper, Maplitho","60, 70, 80, 90"
1,1. SINGLE SHEET,1.9,Postcard,Direct Mail / Tourism / Gifting,"Art Card, Ivory Card","250, 300, 350"
1,1. SINGLE SHEET,1.1,Mailer,Direct Mail / Marketing,"Art Paper, Art Card","130, 170, 220, 250–300"
1,1. SINGLE SHEET,1.11,Compliment Slip,Corporate Stationery,"Maplitho, Bond Paper","80, 90, 100"
1,1. SINGLE SHEET,1.12,Invoice (single),Commerce / Retail,"Maplitho, Bond Paper","70, 75, 80"
1,1. SINGLE SHEET,1.13,Delivery Challan (single),Logistics / Commerce,Maplitho,"70, 75, 80"
1,1. SINGLE SHEET,1.14,Purchase Order (single),Commerce / Procurement,"Maplitho, Bond Paper","70, 75, 80"
1,1. SINGLE SHEET,1.15,Cash Memo (single),Retail / Commerce,Maplitho,"70, 75"
1,1. SINGLE SHEET,1.16,Certificate,Education / Corporate / Awards,"Art Card, Ivory Sheet, Conqueror Paper","170, 220, 250, 300"
1,1. SINGLE SHEET,1.17,Map,Tourism / Government / Education,"Maplitho, Art Paper","80, 100, 130"
1,1. SINGLE SHEET,1.18,Exam Answer Sheet,Education,Maplitho,"60, 70, 75"
1,1. SINGLE SHEET,1.19,OMR Sheet,Education / Recruitment,OMR Maplitho (high opacity),"95, 100, 105"
1,1. SINGLE SHEET,1.2,Blotter,Corporate Stationery,Blotting Paper,"250, 300, 350"
2,2. FOLDED,2.1,Tent Card (folded),F&B / Hospitality / Events,"Art Card, Ivory Card","250, 300, 350"
2,2. FOLDED,2.11,Pocket Folder,Corporate / Education / Presentations,"Art Card, SBS Board","300, 350, 400"
2,2. FOLDED,2.12,Presentation Folder,Corporate / Sales,"Art Card, SBS Board","300, 350"
2,2. FOLDED,2.13,Map (folded),Tourism / Government,"Maplitho, Art Paper","80, 100, 130"
2,2. FOLDED,2.14,Leaflet (folded),Pharma / Retail / Marketing,Art Paper,"100, 130, 170"
2,2. FOLDED,2.15,Newsletter (folded),Corporate / NGO / Education,"Maplitho, Art Paper","80, 100, 130"
2,2. FOLDED,2.16,Menu (folded),Food & Beverage / Hospitality,"Art Card, Synthetic Paper","250, 300, 350"
2,2. FOLDED,2.17,DL Mailer,Direct Mail / Banking / Insurance,Art Paper,"130, 170, 220"
2,2. FOLDED,2.18,Self-mailer,Direct Mail / Marketing,"Art Paper, Art Card","170, 220, 250"
3,3. SADDLE STITCHED,3.1,Booklet,Corporate / Education / Govt,"Maplitho (inside), Art Card (cover)","70–100 (inside), 170–250 (cover)"
3,3. SADDLE STITCHED,3.2,Catalogue,Retail / B2B / E-commerce,"Art Paper (inside), Art Card (cover)","130–170 (inside), 220–300 (cover)"
3,3. SADDLE STITCHED,3.3,Magazine,Media / Publishing,"Art Paper (inside), Art Card (cover)","90–130 (inside), 200–300 (cover)"
3,3. SADDLE STITCHED,3.4,Newsletter (multi-page),Corporate / NGO,"Maplitho, Art Paper","80–100 (inside), 170 (cover optional)"
3,3. SADDLE STITCHED,3.5,Product Manual,Industrial / Electronics / Pharma,Maplitho,"70, 80, 90"
3,3. SADDLE STITCHED,3.6,Programme / Event Brochure,Events / Entertainment,Art Paper,"130, 170, 220"
3,3. SADDLE STITCHED,3.7,Tariff Booklet,Hospitality / Telecom / Banking,Maplitho,"70, 80, 90"
3,3. SADDLE STITCHED,3.8,Small Notebook,Education / Corporate,"Maplitho (pages), Art Card (cover)","60–80 (pages), 220–300 (cover)"
3,3. SADDLE STITCHED,3.9,Comic Book,Publishing / Entertainment,"Maplitho or Art Paper (inside), Art Card (cover)","70–100 (inside), 200–300 (cover)"
4,4. PERFECT BOUND,4.1,Book (Softcover),Publishing / Education,"Maplitho (inside), Art Card (cover)","70–90 (inside), 220–300 (cover)"
4,4. PERFECT BOUND,4.2,Novel / Fiction,Publishing,"Maplitho, Cream Wove Paper","70, 80"
4,4. PERFECT BOUND,4.3,Textbook,Education,Maplitho,"70, 80, 90"
4,4. PERFECT BOUND,4.4,Reference Manual,Industrial / Corporate / Education,Maplitho,"80, 90, 100"
4,4. PERFECT BOUND,4.5,Annual Report,Corporate / Finance,"Art Paper (inside), Art Card (cover)","130–170 (inside), 250–300 (cover)"
4,4. PERFECT BOUND,4.6,Company Profile,Corporate / B2B,Art Paper,"170, 220, 250"
4,4. PERFECT BOUND,4.7,Product Catalogue (thick),B2B / Retail / Industrial,"Art Paper (inside), Art Card (cover)","130–170 (inside), 250–300 (cover)"
4,4. PERFECT BOUND,4.8,Journal,Publishing / Academic,Maplitho,"70, 80"
4,4. PERFECT BOUND,4.9,Magazine (premium),Media / Lifestyle,"Art Paper (inside), Art Card (cover)","130–170 (inside), 250–300 (cover)"
4,4. PERFECT BOUND,4.1,Coffee Table Book (softcover),Luxury / Corporate / Gifting,Art Paper,"170, 200, 250"
4,4. PERFECT BOUND,4.11,Handbook,Corporate / Education / Govt,Maplitho,"70, 80"
4,4. PERFECT BOUND,4.12,Training Manual,Corporate / Industrial,Maplitho,"70, 80, 90"
5,5. HARDBOUND,5.1,Book (Hardcover),Publishing / Education,"Maplitho (inside), Hard Case Board","80–100 (inside), 2–3 mm board"
5,5. HARDBOUND,5.2,Coffee Table Book,Luxury / Corporate / Gifting,"Art Paper (inside), Hard Case Board","170–250 (inside), 2.5–3 mm board"
5,5. HARDBOUND,5.3,Diary (hardbound),Corporate Gifting / Personal,"Maplitho, Cream Paper","70, 80 (pages), hard board cover"
5,5. HARDBOUND,5.4,Atlas,Education / Government,"Maplitho, Art Paper","90, 100, 130"
