Transport_Record_ID,Vendor_ID,Vendor_Name,Service_Type,Vehicle_Type,Origin_Zone,Destination_Zone,CUSTOMER NAME,JOB,QTY IN PCS,Rate_Per_Trip,Rate_Per_pCS,Minimum_Charge,Max_Weight_Kg,Standard_Delivery_Time,Active
TR001,VEN027,PRAKSH CHOWDHURY,TRANSPORT,3 WHEELER,SALT LAKE SECTOR V,BURRABAZAR,EGRA MEDILAB,LETTERHEAD,60000.0,1080.0,0.018,,,EXCELLENT,YES
TR002,VEN027,PRAKSH CHOWDHURY,TRANSPORT,3 WHEELER,RAJABAZAR,54 MANDIR ROAD DUMDUM CANTOMENT,SUNILI LEATHERN PVT LTD,RFID TAG,31000.0,550.0,0.01774193548,,,EXCELLENT,YES
TR003,VEN027,PRAKSH CHOWDHURY,TRANSPORT,3 WHEELER,SALT LAKE SECTOR V,SALTLAKE QUALITY,RELIANCE,LETTERHEAD,50000.0,520.0,0.0104,,,EXCELLENT,YES
TR004,VEN027,PRAKSH CHOWDHURY,TRANSPORT,3 WHEELER,RAJABAZAR,HOWRAH STATION,UTEX,NOTEBOOK,1000.0,1000.0,1,,,EXCELLENT,YES
TR005,VEN027,PRAKSH CHOWDHURY,TRANSPORT,3 WHEELER,RAJABAZAR,BUDGEBUDGE,BBIT,PROSPECTUS,2000.0,1600.0,0.8,,,EXCELLENT,YES
TR006,VEN027,PRAKSH CHOWDHURY,TRANSPORT,3 WHEELER,RAJABAZAR,SALTALKE SECTOR V,MALLCOM,CATALOGUE,500.0,800.0,1.6,,,EXCELLENT,YES
TR007,VEN027,PRAKSH CHOWDHURY,TRANSPORT,3 WHEELER,RAJABAZAR,SALTALKE SECTOR V,SUNDEW,TABLE CALENDER,50.0,300.0,6,,,EXCELLENT,YES
TR008,VEN027,PRAKSH CHOWDHURY,TRANSPORT,3 WHEELER,RAJABAZAR,CITYCENTRE 2,WESTROAD,BROCHURE,70.0,300.0,4.285714286,,,EXCELLENT,YES
TR009,VEN027,PRAKSH CHOWDHURY,TRANSPORT,3 WHEELER,RAJABAZAR,BELUR HOWRAH,RAMKRISHNA MISSION,BOOK,800.0,1100.0,1.375,,,EXCELLENT,YES
TR010,VEN027,PRAKSH CHOWDHURY,TRANSPORT,3 WHEELER,RAJABAZAR,,DIPANKAR MUKHERJEE,COFFE TABLE BOOK,50.0,300.0,6,,,EXCELLENT,YES
TR011,VEN027,PRAKSH CHOWDHURY,TRANSPORT,3 WHEELER,RAJABAZAR,DHULAGARH,UDYOGI,WALL CALENDER,1000.0,1800.0,1.8,,,EXCELLENT,YES
TR012,VEN027,PRAKSH CHOWDHURY,TRANSPORT,3 WHEELER,RAJABAZAR,DHULAGARH,UDYOGI,WALL CALENDER,1000.0,1800.0,1.8,,,EXCELLENT,YES
TR013,VEN027,PRAKSH CHOWDHURY,TRANSPORT,3 WHEELER,SALT LAKE SECTOR V,SODEPUR,PRASUN SANYAL,LETTERHEAD,5000.0,850.0,0.17,,,EXCELLENT,YES
TR014,VEN027,PRAKSH CHOWDHURY,TRANSPORT,3 WHEELER,RAJABAZAR,,,,,,#DIV/0!,,,EXCELLENT,YES
TR015,VEN027,PRAKSH CHOWDHURY,TRANSPORT,3 WHEELER,RAJABAZAR,,,,,,#DIV/0!,,,EXCELLENT,YES
TR016,,,TRANSPORT,3 WHEELER,RAJABAZAR,,CYBER CRIME,NOTEBOOK,100.0,350.0,,,,EXCELLENT,YES
TR017,,,,3 WHEELER,NABAMUDRAN,,APPEJAY,LETTERHEAD,1500.0,145.0,,,,EXCELLENT,YES
TR018,,,,3 WHEELER,NABAMUDRAN,,COTTI,MAGAZINE,2200.0,6750.0,,,,EXCELLENT,YES
TR019,VEN027,PRAKSH CHOWDHURY,TRANSPORT,3 WHEELER,RAJABAZAR,DHULAGARH,RUPA,RAINSUIT MAGAZINE,3000.0,1700.0,0.5666666667,,,EXCELLENT,YES
