Price_Record_ID,Vendor_ID,Vendor_Name,Paper_Type,SINGLE SIDE,BOTH SIDE,SINGLE SIDE,BOTH SIDE,Color
,,,,"12""X18""",,13X19,,
DPOO1,VEN049,NEW SUSHMA PRINTERS,100 GSM PAPER,12,20,13,22,
DPOO2,VEN049,NEW SUSHMA PRINTERS,100 GSM GLOSS ART PAPER,12,20,13,22,
DPOO3,VEN049,NEW SUSHMA PRINTERS,120 GSM GLOSS ART PAPER,12,20,13,22,
DPOO4,VEN049,NEW SUSHMA PRINTERS,130 GSM GLOSS ART PAPER,12,22,13,24,
DPOO5,VEN049,NEW SUSHMA PRINTERS,170 GSM GLOSS ART PAPER,12,22,13,24,
DPOO6,VEN049,NEW SUSHMA PRINTERS,250 GSM GLOSS ART PAPER,13,24,15,26,
DPOO7,VEN049,NEW SUSHMA PRINTERS,300 GSM GLOSS ART PAPER,13,24,15,26,
DPOO8,VEN049,NEW SUSHMA PRINTERS,350 GSM GLOSS ART PAPER,16,28,20,28,
DPOO9,VEN049,NEW SUSHMA PRINTERS,400 GSM GLOSS ART PAPER,30,40,0,0,
DPOO10,VEN049,NEW SUSHMA PRINTERS,TEXTURE PAPER,30,40,0,0,
DPOO11,VEN049,NEW SUSHMA PRINTERS,AVERY GUMMING,18,0,20,0,
DPOO12,VEN049,NEW SUSHMA PRINTERS,NORMAL GUMMING,14,0,16,0,
DPOO13,VEN049,NEW SUSHMA PRINTERS,NT.GUMMING SHEET,35,0,0,0,
DPOO14,VEN049,NEW SUSHMA PRINTERS,NT. SHEET,35,45,50(280M),60(280m),
DPOO15,VEN049,NEW SUSHMA PRINTERS,GLOSS LAMINATION,6,0,0,0,
DPOO16,VEN049,NEW SUSHMA PRINTERS,MAT LAMINATION,7,0,0,0,
DPOO17,VEN049,NEW SUSHMA PRINTERS,VELVATE LAMINATION,20,0,0,0,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Price_Record_ID,Vendor_ID,Vendor_Name,Paper_Type,A4,A3,A2,A1,A0
,,,,,,,,
DPOO18,VEN049,NEW SUSHMA PRINTERS,DIGITAL PRINTING (COLOUR),10,20,0,0,0
DPOO19,VEN049,NEW SUSHMA PRINTERS,DIGITAL PRINTING (COLOUR) SUB COPY,7,15,0,0,0
DPOO20,VEN049,NEW SUSHMA PRINTERS,LAMINATION,25,40,0,0,0
DPOO21,VEN049,NEW SUSHMA PRINTERS,SPIRAL BINDING,RS. 35.00 TO 250.00,,,,
